https://github.com/apache/camel,a7876c23e29de028820d215eef668b3b7814ae0a,_,org.apache.activemq.apache-activemq@5.0.0,CVE-2013-3060
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,log4j.log4j@1.2.14,CVE-2019-17571
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,log4j.log4j@1.2.14,CVE-2021-4104
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,log4j.log4j@1.2.14,CVE-2022-23302
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,log4j.log4j@1.2.14,CVE-2022-23305
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,log4j.log4j@1.2.14,CVE-2022-23307
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,log4j.log4j@1.2.14,CVE-2023-26464
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,org.springframework.spring-aop@2.5.6,CVE-2009-1190
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,org.springframework.spring-web@2.5.6,CVE-2011-2730
https://github.com/apache/camel,9eb0521a2434c6113f69fd523d34daeee9d7eb72,63993985be733c6fecbd099a1d393dfcdee9e996,org.springframework.spring@2.0.6,CVE-2016-9878
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,org.mortbay.jetty.jetty@6.1.11,CVE-2006-2758
https://github.com/apache/camel,f5aea193dc75d609e631f129ba24a38dc60c9ddf,_,org.mortbay.jetty.jetty@6.1.5,CVE-2007-5614
https://github.com/apache/camel,f5aea193dc75d609e631f129ba24a38dc60c9ddf,_,org.mortbay.jetty.jetty@6.1.5,CVE-2007-5615
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,org.mortbay.jetty.jetty@6.1.11,CVE-2009-1523
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,org.mortbay.jetty.jetty@6.1.11,CVE-2009-1524
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,org.mortbay.jetty.jetty@6.1.11,CVE-2009-4611
https://github.com/apache/camel,9ccd57f015815716acb01119f5dc1d4b5c3e3747,039c227700c4caec4d74d704b9d2efd26ec259ec,org.mortbay.jetty.jetty@6.1.11,CVE-2011-4461
https://github.com/apache/camel,667c9c50b3830afa0f9c94653d3f24055c011fad,_,hsqldb.hsqldb@1.8.0.7,CVE-2007-4575
